text,label,score,source_url,char_len,word_len
If you are an Ethnic Food Vendor interested in participating in our,NON-EVENT,0,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,67,12
2026 Around The World Cultural Food Festival,EVENT,2,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,44,7
", please fill out the online form. ** Please note: Registration is NOT completed and you are NOT accepted in the event until the Vendor Fee has been paid in full. ** *** REGISTRATION FOR 2025 IS CLOSED, BUT WE ARE OPEN FOR 2026! ***",NON-EVENT,0,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,232,45
"If you want to be part of our festival, please fill out the registration from below for 2026 Around The Wold Cultural Food Festival ***",EVENT,2,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,135,25
Primary Contact E-mail (please use your best contact email address as this will be used to receive further information on event's day of logistics). Cannot be the same as the Primary one Primary Contact Phone Number (cannot be the same as the Primary one) Secondary Contact Name (cannot be the same as the Primary one) Secondary Contact E-mail (please use your best contact email address as this will be used to receive further information on event's day of logistics).,NON-EVENT,0,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,469,79
"August 29, 2026 - Around The World Cultural Food Festival ~ Oronoco Bay Park, Alexandria, VA (11am - 7pm)",EVENT,3,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,105,19
"Vendor Type (Licensed Businesses ONLY) - Choose One COUNTRY Represented in the Festival (we only accept 1 vendor per country, so if the country is already represented by another food vendor, please do not register) 2025 ATW ~ Food Tent Vendor Single Booth, 10x10 Space - $1,295 2025 ATW ~ Food Truck 10x20 Space - 1,295 2025 ATW ~ Food Truck 10x30 Space - $1,995 2025 ATW ~ Food Truck 10x40 Space ~ $2,495 Desserts Vendor Single Booth, 10x10 - 795 - ON SITE COOKING (NO ICE CREAM PRODUCTS!) Desserts Vendor Single Booth, 10x20 - 595 - PRE-PACKAGED ONLY (NO ICE CREAM PRODUCTS!) Desserts Vendor Double Booth, 10x20 Space - SOLD OUT Desserts Vendor Truck - SOLD OUT Ice Cream Single Booth, 10x10 Space - SOLD OUT Ice Cream Truck - SOLD OUT Snow Cone/ Shaved Ice Truck - SOLD OUT Snow Cone/ Shaved Ice, Single Booth, 10x10 Space - SOLD OUT Smoothies Single Booth, 10x10 Space - SOLD OUT Smoothies Truck - SOLD OUT Virtual Vendor - Vendor will not be present on site the day of the event, but will be promoted in the event as an Online Vendor the week of the event (online reach over 1 million people) ~ $245 Additional Notes/ Requests (available on a first come, first serve basis). You will receive a separate invoice for it. Specific booth request ($45 additional) Tent Rental ($250 additional - includes tent weights, set up and break down) Vendor Marketing and Promotion ($175 additional) I have read and understand the COVID-19 SAFETY ACKNOWLEDGEMENT -- LIABILITY WAIVER AND RELEASE OF CLAIMS listed in the footer of the website Menu presented in the festival – all dishes are REQUIRED to be ethnic, traditional dishes, originated in the country you represent. Please be aware of the festival concept and requirements to present ONLY traditional food (i.e: fusion, mix, etc. dished are NOT allowed). NO refunds for the registration fee will be approved once your registration is approved and email sent confirming your participation in the festival. By agreeing to the Terms and Conditions in the Food Vendor Registration Form, you agree to the stipulated terms and conditions regarding the menu. No beverages are allowed for sale in the festival, no exception. Proof of Insurance naming Royal Events Group as Additional Insured",NON-EVENT,0,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,2230,381
"Late Fee Documentation Submission – $150. If all required documents are NOT received by June 1, 2025, a $150 late submission fee will be assessed.",EVENT,2,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,146,25
"Required and Not Included in the registration fee: Tent, tables, chairs (vendor provides full set up. Flame retardant certification required for the tent) Electricity (not available on site; vendor can use their own generator) Open Flame Permit from Alexandria County Fire Marshal Temporary Food Permit from Alexandria Health Department Around the World Cultural Food Festival is focused on promoting local establishments. Keeping that in mind, only restaurants and catering companies that have a business license will be allowed to submit entries. Due to limited space at the Around the World Cultural Food Festival, spacing selected will be on a first come, first paid basis. All selected food vendors, must adhere to the following: •Per health code regulation, restaurant personnel should adhere to all rules and regulations specified in the contract. •All vendors are required to sign Vendor Contract upon registration (contract will be presented to you upon approval of your participation). •Your participation in the festival will not be granted until all required documents are submitted and the registration fee is paid in full. VENDOR GENERAL INFORMATION, RULES AND REGULATIONS Each vendor is provided with a 10’ x 10’ space which can accommodate a 10×10 tent. If available, if you go outside the 10×10 space, you will have to pay for additional space! Vendors need to provide their own set up, including tent, tables and chairs for displaying the merchandize. Vendors understand that are responsible for all needed display props, including table/chairs/hanging materials/signs/etc. All tents MUST be anchored with weights on all legs. If a tent has no weights, you will be asked to take it down, due to liability issues. Electrical requirements are limited. Please contact the event organizer for any electrical needs. Usually set up starts 2 hours before the event start time and break down occurs right after the event ends. More detailed information regarding each of our events, including the Vendor Layout is emailed one to two weeks prior to the event date. For any questions, you can always contact our office at 703.889.0202 between normal business hours. Vendors are NOT allowed to share booth spaces; all vendors are welcome, but they must register for their own booth space. If we see that you share a booth space with another vendor not registered in the event with their own booth space, the vendor who is not registered with our company will be asked to leave the event premises, NO EXCEPTIONS. Food items, including jams, teas, spices, etc cannot be displayed for sale in the same tent with jewelry, clothing items, bath and body items, etc. The best and easiest way to keep in touch with our announcements on upcoming events, special promotions, and/ or last calls for vendors is to sign up for our Vendor E-newsletter. Please keep in mind you may receive emails regarding events that may not be in your area of interest, but we recommend you to keep an eye on all emails received from us as otherwise you may miss important announcements regarding upcoming festivals you may be interested in. Certificate of Insurance adding Royal Events Group as an additional insured for the day of the event is a requirement for all Food and Beverage Vendors participating in any of the events. While Event premises are being occupied under this agreement, the organizer will provide All participating vendors are required to accept both cash and credit card payments, NO EXCEPTIONS. Please be advised that wifi is NOT available on site, so please plan accordingly. Each exhibitor is responsible for collecting the state sales tax and filing a report with the local Department of Revenue. For any questions or more information, please contact your accountant or the local Department of Revenue; our staff is not certified to provide or answer any tax related questions. WE DO NOT ISSUE REFUNDS FOR CANCELLATIONS. Vendor fee is Non-Refundable and Non-Transferable. In case the event must be cancelled for reasons out of organizer’s control (i.e. inclement weather as tornadoes and hurricanes, government imposed regulations, Act of God, venue related issues, etc.), event will be rescheduled and the new date will be announced to all registered vendors in the event. Refunds will not be accepted due to already inquired expenses on organizer’s behalf as advertising and promotion, permits and licenses, venue rental fees, etc. In case the organizer must cancel the event with no rescheduled date set, vendor fees will be refunded. Day Before/ Same Day Cancellations and No-Shows Promoting other events in our festivals and events is strictly prohibited. If we see you promote other event within ours, you will be asked to remove all information related to that particular event. Vendors can distribute flyers, business cards, coupons, menus, or other material to patrons within their vendor booth area, but please DO NOT SHARE flyers from other events endor understands that, in special occasion, their booth will be relocated in a different area, most likely a better one, depending on the cancellations and/ or no-shows the day of the event, in order to maintain the overall flow and visual appearance of the event’s layout. This change will be communicated by the on site Event Manager, the day of the event. Alcohol is NOT allowed on event’s grounds – not for sale and not for personal consumption. Weather / Rain or Shine Policy",NON-EVENT,0,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,5445,885
"COVID Policy (Addendum to Vendor Fees as of September 1, 2020 (revised March 1, 2021, revised February 2022)",EVENT,2,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,108,18
"In special cases as the COVID-19 pandemic, vendor understands that no refunds will be processed as to already inquired expenses on organizer’s behalf as venue rental fees, permits and licenses, advertising and promotion, etc. Organizer will work with vendors to offer credit options towards another festivals and events in the coming year, hence 2023; a tentative schedule of events will be released by mid/ late 2022. the rules & regulations before submitting the Vendor Registration Form. We make every attempt to review all information contained within the pages of this website and at the time of posting all information is believed to be accurate and complete. Organizer has final rights for interpretations and disclosure and reserves the right to change any information as it becomes necessary. Any changes will be disclosed to all parties involved as soon as they become available to us via e-mail or phone, as we feel best for confirmed parties. Anticipated attendance: 45,000 – 50,000 people for the day (2023 attendance – 50,000 for the day) •All required certificates (copies) must be submitted with the completed application. •Vendor fees are Non-Refundable. This is a Rain or Shine event . •ALL PROCEEDS from vendor sales will belong to the vendor. •No commissions will be assessed. Vendors are responsible for collecting sales tax and for reporting earnings to IRS and VA Tax Office.",NON-EVENT,1,https://chiceventsdc.com/2026-around-the-world-food-vendor-registration/,1398,225
"To register as a Vendor, please click on the Event Flyer below: If you are an Arts & Crafts, Food or Dessert, Direct Sales or even General Vendor interested in participating in our Arts & Crafts Fairs, please fill out the online form. Vendor Registration Fee for a single event can be paid online, using the link below. For registration to more than one event, please contact us, or fill out the and email it back to us at ArtsandCrafts@Royal-EventsPlanning.com. ** Please note: Registration is NOT completed and you are NOT accepted in the event until the Vendor Fee has been paid. ** E-mail (please use your best contact email address as this will be used to receive further information on event's day of logistics). Please add us to your Contact List, so you will not miss any emails from us. Website / Facebook/ Instagram (link required - i.e. https://www.chiceventsdc.com). This information will be used to promote your business, so please be accurate when including the links.",NON-EVENT,0,https://chiceventsdc.com/frederick-arts-crafts-fair/,982,167
"SEPTEMBER 13, 2025  – OLD TOWN MANASSAS ART SHOW AND CRAFT FALL FAIR – MANASSAS MUSEUM, MANASSAS, VA (10am – 3pm) OCTOBER 12, 2025  – SILVER SPRING ARTS & CRAFTS FALL FAIR – VETERANS PLAZA, SILVER SPRING, MD (1pm – 6pm)",EVENT,2,https://chiceventsdc.com/frederick-arts-crafts-fair/,219,41
"Arts & Crafts (handmade products only - i.e. jewelry, art, bath and body products, etc; except for clothing and accessories) Clothing & Accessories (handmade items only) Independent Consultants for Direct Sales Companies (i.e. Mary Kay, Paparazzi, Avon, Scentsy, Color Street, Lularoe, etc) General (i.e. home remodeling, law offices, insurance agencies, etc and other commercial businesses) Non-Profit Organization (501 c(3) organizations only). All other non-profits fall under the General Vendor category Vendor Booth Payment (please select Vendor Type from the drop-down menu) Arts & Crafts Single Booth, 10x10 - $145 Arts & Crafts Double Booth, 10x20 - $245 Clothing & Accessories Single Booth, 10x10 - $165 Clothing & Accessories Double Booth, 10x20 - $265 Independent Consultants for Direct Sales Companies Single Booth, 10x10 - $165 Independent Consultants for Direct Sales Companies Double Booth, 10x20 - $265 Ice Cream Single Booth, 10x10 Space - $265 Ice Cream Truck - $365 Snow Cone, Single Booth, 10x10 Space - $265 Snow Cone Truck - $365 Smoothies Single Booth, 10x10 Space - $265 Desserts, Treats & Spices Vendor Single Booth, 10x10 - $199 Desserts, Treats & Spices Vendor Double Booth, 10x20 - $299 Food Tent Vendor Single Booth - $495 Food Truck Vendor - $495 Food Tent Vendor Double Booth, 10x20 - $695 General Vendor Single Booth, 10x10 - $395 General Vendor Double Booth, 10x20 -  $695 Non-Profit Organization, Single Booth 10x10 - $249 Virtual Vendor - Vendor will not be present on site the day of the event, but will be promoted in the event as an Online Vendor the week of the event ~ $55 Total (taxes included). Payment link will appear once the registration form is submitted. If payment is not submitted immediately, you will have to re-submit the Vendor Registration Form. PRIME Booth Location ($45 additional) Specific Booth request - includes electricity request, where available ($35 additional) Participation in the FACEBOOK LIVE EVENT the day of the event ($55 additional) - Vendor has the opportunity to participate in a Facebook Live Event on the Chic Events DC’s event page the day of the event directly from their booth! Vendor will be allocated up to 30 minutes to present all products they have for sale the day of the event and promote their website or online store. This service is available to vendors registered in the live event only and will be assisted by the organizer's staff present at the event. Limited number of spots available per event. Tent Rental ($105 additional - includes tent weights, set up and break down) Vendor Marketing and Promotion ($50 additional) - Vendor will be promoted on all Chic Events DC's social media channels once a week for 4 weeks prior to the event date.",NON-EVENT,1,https://chiceventsdc.com/frederick-arts-crafts-fair/,2736,449
"2025 Spring into Art (Mother’s Day Celebration) Vendor Registration Form ~ National Harbor, MD",EVENT,2,https://chiceventsdc.com/2025-spring-into-art-national-harbor/,94,14
"If you are an Arts & Crafts, Food or Dessert, Direct Sales or even General Vendor interested in participating in our Cultural Festivals, please fill out the online form. Vendor Registration Fee for a single event can be paid online, using the link below. For registration to more than one event, please fill out the 2025 MULTIPLE EVENTS REGISTRATION FORM ** Please note: Registration is NOT completed and you are NOT accepted in the event until the Vendor Fee has been paid in full. *** SOLD OUT!!!! SEE YOU IN 2026!!!! 🙂 Vendor has the option to select the Prime Location and/ or Corner Booth in the Vendor Registration From. Selecting these options does not guarantee having them. If the Prime Location and or Corner Booth are available, you will receive a separate email with invoice to submit payment for them. Prime Location spaces are the first ones to sell out and Corner Spaces are the second ones to sell out, so if you are interested in these additional options, please plan accordingly and select them as soon as you register for your booth space. We do not offer vendor category exclusivity for none of the categories listed in our vendor registration form except for the Direct Sales category (i.e.: Mary Kay, Scentsy, Avon, Paparazzi, etc), as all products are the same. As an artisan and crafter, we consider all items to be unique and we do not have a cap for handmade items, no matter the category. If you are interested in being the only vendor representing a category in one of our events, then you will be considered a Sponsor and booth fee will be displayed accordingly. In special cases and only if approved – if a vendor requires to transfer a registration fee from an event to another, there are several conditions that must be met: event cannot take place within 6 months from the date of the transfer request (i.e. if you are registered for an event in January, you can only transfer to an event happening after June) a $35 + taxes processing fee will be assessed for any transfers made no more than 1 transfer per vendor per year is allowed. Same Day Cancellations and No-Shows",NON-EVENT,1,https://chiceventsdc.com/2025-spring-into-art-national-harbor/,2104,372
"COVID Policy (Addendum to Vendor Fees as of September 1, 2020 (revised March 1, 2021, revised February 2022))",EVENT,2,https://chiceventsdc.com/2025-spring-into-art-national-harbor/,109,18
"Anticipated attendance: 2,000- 2,500 people for the day. ** Anticipated attendance is calculated as an average attendance for the events category (i.e. Arts & Crafts) based on each event’s attendance for the past 3 years. As outdoor events, please keep in mind that attendance is impacted by the weather conditions. ** © 2025 All right reserved by Chic Events DC. Unauthorized use and/or duplication of all and any material found on this website without express and written permission from this website’s author and/or owner is strictly prohibited. Excerpts and links may be used, provided that full and clear credit is given to Chic Events DC with appropriate and specific direction to the original content, no exceptions.",NON-EVENT,0,https://chiceventsdc.com/2025-spring-into-art-national-harbor/,723,116
"If you are an Arts & Crafts, Food or Dessert, Direct Sales or even General Vendor interested in participating in our Arts & Crafts Festivals and Fairs, please fill out the online form below. event cannot take place within 6 months from the date of the transfer request (i.e. if you are registered for an event in July, your request for transfer must be received no later than February and you can only transfer to an event happening after July, if and only the event you are transferring to/ from is not closed for registration. If the event you requested to be transferred to/ from is closed for registration, then the transfer can no longer take place. ) Anticipated attendance: 2,000 – 2,500 people for the day.",NON-EVENT,1,https://chiceventsdc.com/2025-arts-crafts-fair/,714,127
"If you are an Arts & Crafts, Small Business (i.e.: Clothing and Accessories, Literature, Direct Sales, etc) or a Commercial Vendor interested in participating in our Around The World Cultural Food Festival, please fill out the online registration form.",NON-EVENT,1,https://chiceventsdc.com/around-the-world-festival-non-food-vendor-registration/,252,39
"August 23, 2025 ~ Oronoco Bay Park, Alexandria, VA (11am - 7pm)",EVENT,2,https://chiceventsdc.com/around-the-world-festival-non-food-vendor-registration/,63,12
What Country do you represent?,NON-EVENT,0,https://chiceventsdc.com/around-the-world-festival-non-food-vendor-registration/,30,5
"Vendor Type (Vendor Fees will increase starting November 1, 2022)",EVENT,2,https://chiceventsdc.com/around-the-world-festival-non-food-vendor-registration/,65,10
"Clothing and Accessories (handmade items only) Teas and Spices (small businesses only) Commercial Vendor (i.e.: home improvement, home food services, travel agencies, etc) Non-Profit Organization (501 c(3) charitable organizations only) Vendor Booth Payment (please select Vendor Booth Fee from the drop-down menu) Arts & Crafts Vendor, Single Booth 10x10 - $275 Arts & Crafts Vendor, Double Booth, 10x20 - $475 Clothing & Accessories Single Booth, 10x10 - $275 Clothing & Accessories Double Booth, 10x20 - 475 Independent Consultants for Direct Sales Companies Single Booth, 10x10 - $275 Independent Consultants for Direct Sales Companies Double Booth, 10x20 - $475 Herbs, Honey, Sauces & Spices (small businesses only), Single Booth, 10x10 - $275 Herbs, Honey, Sauces & Spices (small businesses only), Double Booth, 10x20 - $475 Commercial Vendor Single Booth, 10x10 - $545 Commercial Vendor Double Booth, 10x20 - $845 Non-Profit Organization (501c(3) charitable organizations only) Single Booth, 10x10 - $445 Non-Profit Organization (501c(3) charitable organizations only) Double Booth, 10x20 - $699 Virtual Vendor - Vendor will not be present on site the day of the event, but will be promoted in the event as an Online Vendor the week of the event (online reach over 1 million people) ~ $175 PRIME Booth Location ($75 additional) Specific Area Booth Request ($65 additional) Anticipated attendance: 45,000 – 50,000 people for the day (2023 attendance – 50,000 people for the day)",NON-EVENT,0,https://chiceventsdc.com/around-the-world-festival-non-food-vendor-registration/,1484,227
"2019, October – Silver Spring Crafts, Desserts & Sweets Fair Holiday Crafts, Desserts & Sweets – Manassas Museum, Manassas, VA, Ida Lee Recreation Center, Leesburg, VA, – Ida Lee Recreation Center, Leesburg, VA Bratwurst, BBQ and Mulled Wine Fall Festival",NON-EVENT,1,https://chiceventsdc.com/family-fun-events-photos/,255,40
"WECOME TO THE 2025 VENDOR VIRTUAL SHOWCASE EVENTS! We are happy to announce that we will continue our Virtual Showcase events in 2024! TAKE ADVANTAGE OF OUR ONLINE OUTREACH (over 1 million people reach on our combined social media channels) AND GROW YOUR BUSINESS OUTSIDE YOUR PHYSICAL LOCATION! A Virtual Vendor Showcase event is the best way to promote and sell your products and / or services outside of your physical location. Unlike an in-person event (fair, festival, craft show, etc), through an online event you have the possibility of reaching a much larger audience from all around the world; it all depends on you and your area of shipping and/ or servicing – you can stay local, or you can go global!! Through the Virtual Showcase Events, we are offering you the perfect platform to make your business known to thousands of people from different parts of US and not only (you can view our online outreach below). Please remember that you will still have to have an e-commerce for people to view your products and purchase them and we recommend you to take advantage of our social media presence to post your items and increase your sales! With this being said… are you ready to take your business to the next level?? This year, we are inviting you to join us on an ONLINE shopping spree! Considering the COVDI-19 pandemic, more and more people are redirecting their attention through online shopping. Therefore, for this year, we are offering our clients the option to shop the unique products they are used to from our vendors from the comfort of their own homes. If you are a vendor interested in joining the online events, please read carefully the description for each event to make sure you qualify as a vendor. There are ten (10) different events we are hosting, so you can choose one or more that are applicable to the products you sell.",NON-EVENT,1,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,1856,324
"February 3 – 7, 2025 ~ The Perfect Valentine’s Gift ~ Last Minute Valentine’s Day Deals and Steals Virtual Show",EVENT,2,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,111,20
"~ OPEN for ALL TYPES OF JEWELRY, BATH & BODY, CANDLES, CLOTHES, DECORATIONS, etc. (direct sales vendors accepted)",NON-EVENT,0,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,113,18
"April 28 – May 2, 2025 ~ Mother’s day Celebration  ~ Online Shopping Event October 20 – 24, 2025 ~ Trick or Treat Arts & Crafts Virtual Holiday Show November 24 – 28, 2025 ~ Black Friday Virtual Holiday Market ~ Jewelry, Bath & Body and Home Decor",EVENT,3,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,247,48
"ecember 8 – 12, 2025 ~ Tis’ The Season for Last Minute Deals and Steals ~ Virtual Holiday Craft Show ~ OPEN for UNIQUE, FINE HAND MADE JEWELRY, CLOTHING AND ACCESSORIES and UNIQUE, FINE ARTISANS AND CRAFTERS (direct sales vendors not accepted) If Interested in joining the event as a vendor, please fill out the form below. Please keep in mind we accept a limited number of Vendors per event. Which event are you interested in attending ( we accept ONLY 20 vendors per event)",NON-EVENT,1,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,475,85
"April 28 – May 2, 2025 ~ Mother’s Day Celebration  ~ Online Shopping Event October 20 – 24, 2023 ~ Trick or Treat Arts & Crafts Virtual Holiday Show November 24 - 28, 2025 ~ Black Friday Virtual Holiday Market Black Friday Virtual Holiday Market ~ Jewelry, Bath & Body and Home Decor December 8 - 12, 2025 ~ Tis’ The Season for Last Minute Deals and Steals ~ Virtual Holiday Craft Show",EVENT,3,https://chiceventsdc.com/2025-virtual-vendor-showcase-events/,385,73
