text,label
"2025 National Harbor Christmas Market and Holiday Craft Show Vendor Registration 2025 Old Town Alexandria Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Old Town Manassas Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Silver Spring Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Woodbridge/ Stonebridge Christmas Market and Holiday Craft Show Vendor Registration December 20, 2025 – Woodbridge Arts & Crafts Christmas Market Vendor Registration 2025 Vendor Registration 2025 Schedule of Events 2025 Single Event Vendor Registration 2025 Multiple Events Vendor Registration 2025 Event Locations Statistics 2025 Participating Vendors",EVENT
Event Production Vendor Management,NON-EVENT
2025 Performer Application,EVENT
Employment Opportunities Volunteer Contact Home Photo Gallery,NON-EVENT
Arts & Crafts Events Photos,EVENT
Cultural Events Photos Family/ Fun Events Photos Business Networking Events Photos About Blog,NON-EVENT
2025 Virtual Vendor Events,EVENT
Around The World Cultural Festival,NON-EVENT
"2026 Around The World Food Vendor Registration 2025 Around The World Festival Non-Food Vendor Registration 2025 ATW Sponsorship Opportunities RSVP to the 2025 Around The World Festival Facebook Event Arts & Crafts Fairs Frederick Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form National Harbor Arts & Crafts Fair 2025 Spring into Art Vendor Registration Form ~ National Harbor, MD Old Town Alexandria Arts & Crafts Fair 2025 Old Town Alexandria Arts & Crafts Spring Fair ~ Mother’s Day Celebration Old Town Manassas Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form Silver Spring Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form",EVENT
Cultural Festivals,NON-EVENT
2025 Cultural Events Vendor Registration,EVENT
Family/ Fun Festivals,NON-EVENT
"2025 Family/ Fun Events Vendor Registration 2025 Beats, Bites and Brews in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Manassas Vendor Registration 2025 Alexandria Fall-O-Ween Vendor Registration",EVENT
Christmas Markets,NON-EVENT
"2025 National Harbor Christmas Market and Holiday Craft Show Vendor Registration 2025 Old Town Alexandria Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Old Town Manassas Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Silver Spring Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Woodbridge/ Stonebridge Christmas Market and Holiday Craft Show Vendor Registration December 20, 2025 – Woodbridge Arts & Crafts Christmas Market Vendor Registration 2025 Vendor Registration 2025 Schedule of Events 2025 Single Event Vendor Registration 2025 Multiple Events Vendor Registration 2025 Event Locations Statistics 2025 Participating Vendors",EVENT
Event Production Vendor Management,NON-EVENT
2025 Performer Application,EVENT
Employment Opportunities Volunteer Contact Cultural Events Photos,NON-EVENT
"2019, Sept.14 – World Heritage Festival & Festival of Kites ~ Manassas, VA",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
"2019, Sept.7 – World Heritage & Festival of Kites ~ Richmond, VA",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
"2019, August 24,World Heritage Festival &",EVENT
"Festival of Kites – Leesburg, VA [Show slideshow] 1 2 ►",NON-EVENT
"2019,",EVENT
"August,",NON-EVENT
"Around the World Cultural Food Festival –  Freedom Plaza, Washington DC",EVENT
[Show slideshow] 1 2 3 ►,NON-EVENT
"2019, August, International Food & Craft Fair – Silver Spring, MD",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
"2019, July, World Heritage Festival ~ Baltimore, MD",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
"2019, June 29, World Heritage Festival ~ Fredericksburg, VA",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
"2019 June 23, World Heritage Festival ~ Silver Spring, MD",EVENT
[Show slideshow] 1 2 ►,NON-EVENT
2018,EVENT
"August, World Heritage Festival & Festival of Kites ~  Leesburg,VA [Show slideshow] 1 2 3 ►",NON-EVENT
"2018,",EVENT
"August,",NON-EVENT
"Around the World Cultural Food Festival –  Freedom Plaza, Washington DC",EVENT
[Show slideshow] 1 2 ... 4 ►,NON-EVENT
"2018 August,",EVENT
"Latin Heritage Festival – Silver Spring, MD [Show slideshow] 1 2 ►",NON-EVENT
"2018,",EVENT
"July, World Heritage Festival ~ Manassas, VA [Show slideshow]",NON-EVENT
"2018, June, World Heritage Festival –",EVENT
"Silver Spring, MD [Show slideshow] 1 2 ►",NON-EVENT
"Taste of the World Cultural Festival – October 2017, Dumfries,VA",EVENT
[Show slideshow],NON-EVENT
"Taste of the World Cultural Festival – August 2017, Leesburg, VA",EVENT
[Show slideshow] 1 2 3 ►,NON-EVENT
"Around the World Cultural Food Festival – June 2017, National Mall, Washinghton DC",EVENT
[Show slideshow] 1 2 3 ►,NON-EVENT
Exhibitor Rules and Regulations Exhibitor Contract,EVENT
COVID-19 SAFETY ACKNOWLEDGEMENT — LIABILITY WAIVER AND RELEASE OF CLAIMS,NON-EVENT
© 2025 All right reserved by Chic Events DC. Unauthorized use and/or duplication of all and any material found on this website is strictly prohibited. Exhibitor Rules and Regulations Exhibitor Contract,EVENT
COVID-19 SAFETY ACKNOWLEDGEMENT — LIABILITY WAIVER AND RELEASE OF CLAIMS,NON-EVENT
© 2025 All right reserved by Chic Events DC. Unauthorized use and/or duplication of all and any material found on this website is strictly prohibited.,EVENT
Chic Events DC a division of Royal Events Group,NON-EVENT
© 2020 All rights Reserved. Design by Elementor,EVENT
Facebook Twitter Google-plus Pinterest Chic Events DC error: Content is protected !!,NON-EVENT
Skip to content Washington DC | Virginia | Maryland ArtsandCrafts@Royal-EventsPlanning.com Facebook Instagram Twitter Youtube CHIC EVENTS DC Bringing the Fun in Your Area,NON-EVENT
2025 Vendor Registration ARTS & CRAFTS FESTIVALS ARTS & CRAFTS VENDOR REGISTRATION,EVENT
CULTURAL FESTIVALS CULTURAL FESTIVALS VENDOR REGISTRATION FAMILY FUN FESTIVALS FAMILY / FUN FESTIVALS VENDOR REGISTRATION Home Photo Gallery,NON-EVENT
Arts & Crafts Events Photos,EVENT
Cultural Events Photos Family/ Fun Events Photos Business Networking Events Photos About Blog,NON-EVENT
2025 Virtual Vendor Events,EVENT
Around The World Cultural Festival,NON-EVENT
"2026 Around The World Food Vendor Registration 2025 Around The World Festival Non-Food Vendor Registration 2025 ATW Sponsorship Opportunities RSVP to the 2025 Around The World Festival Facebook Event Arts & Crafts Fairs Frederick Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form National Harbor Arts & Crafts Fair 2025 Spring into Art Vendor Registration Form ~ National Harbor, MD Old Town Alexandria Arts & Crafts Fair 2025 Old Town Alexandria Arts & Crafts Spring Fair ~ Mother’s Day Celebration Old Town Manassas Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form Silver Spring Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form",EVENT
Cultural Festivals,NON-EVENT
2025 Cultural Events Vendor Registration,EVENT
Family/ Fun Festivals,NON-EVENT
"2025 Family/ Fun Events Vendor Registration 2025 Beats, Bites and Brews in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Manassas Vendor Registration 2025 Alexandria Fall-O-Ween Vendor Registration",EVENT
Christmas Markets,NON-EVENT
"2025 National Harbor Christmas Market and Holiday Craft Show Vendor Registration 2025 Old Town Alexandria Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Old Town Manassas Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Silver Spring Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Woodbridge/ Stonebridge Christmas Market and Holiday Craft Show Vendor Registration December 20, 2025 – Woodbridge Arts & Crafts Christmas Market Vendor Registration 2025 Vendor Registration 2025 Schedule of Events 2025 Single Event Vendor Registration 2025 Multiple Events Vendor Registration 2025 Event Locations Statistics 2025 Participating Vendors",EVENT
Event Production Vendor Management,NON-EVENT
2025 Performer Application,EVENT
Employment Opportunities Volunteer Contact Home Photo Gallery,NON-EVENT
Arts & Crafts Events Photos,EVENT
Cultural Events Photos Family/ Fun Events Photos Business Networking Events Photos About Blog,NON-EVENT
2025 Virtual Vendor Events,EVENT
Around The World Cultural Festival,NON-EVENT
"2026 Around The World Food Vendor Registration 2025 Around The World Festival Non-Food Vendor Registration 2025 ATW Sponsorship Opportunities RSVP to the 2025 Around The World Festival Facebook Event Arts & Crafts Fairs Frederick Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form National Harbor Arts & Crafts Fair 2025 Spring into Art Vendor Registration Form ~ National Harbor, MD Old Town Alexandria Arts & Crafts Fair 2025 Old Town Alexandria Arts & Crafts Spring Fair ~ Mother’s Day Celebration Old Town Manassas Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form Silver Spring Arts & Crafts Fair 2025 Arts & Crafts Fair Vendor Registration Form",EVENT
Cultural Festivals,NON-EVENT
2025 Cultural Events Vendor Registration,EVENT
Family/ Fun Festivals,NON-EVENT
"2025 Family/ Fun Events Vendor Registration 2025 Beats, Bites and Brews in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Alexandria Vendor Registration 2025 Oktoberfest in Old Town Manassas Vendor Registration 2025 Alexandria Fall-O-Ween Vendor Registration",EVENT
Christmas Markets,NON-EVENT
"2025 National Harbor Christmas Market and Holiday Craft Show Vendor Registration 2025 Old Town Alexandria Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Old Town Manassas Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Silver Spring Christmas Market and Holiday Craft Show Vendor Registration Form 2025 Woodbridge/ Stonebridge Christmas Market and Holiday Craft Show Vendor Registration December 20, 2025 – Woodbridge Arts & Crafts Christmas Market Vendor Registration 2025 Vendor Registration 2025 Schedule of Events 2025 Single Event Vendor Registration 2025 Multiple Events Vendor Registration 2025 Event Locations Statistics 2025 Participating Vendors",EVENT
Event Production Vendor Management,NON-EVENT
2025 Performer Application,EVENT
Employment Opportunities Volunteer Contact,NON-EVENT
2026 Around The World Food Vendor Registration,EVENT
If you are an Ethnic Food Vendor interested in participating in our,NON-EVENT
2026 Around The World Cultural Food Festival,EVENT
", please fill out the online form. ** Please note: Registration is NOT completed and you are NOT accepted in the event until the Vendor Fee has been paid in full. **",NON-EVENT
"*** REGISTRATION FOR 2025 IS CLOSED, BUT WE ARE OPEN FOR 2026! *** If you want to be part of our festival, please fill out the registration from below for 2026 Around The Wold Cultural Food Festival ***",EVENT
"Business Name * Primary Contact Name * First Last Primary Contact E-mail (please use your best contact email address as this will be used to receive further information on event's day of logistics). Cannot be the same as the Primary one * Please enter your email, so we can follow up with you. Primary Contact Phone Number (cannot be the same as the Primary one) * Secondary Contact Name (cannot be the same as the Primary one) * First Last Secondary Contact E-mail (please use your best contact email address as this will be used to receive further information on event's day of logistics). * Please enter your email, so we can follow up with you. Secondary Contact Phone Number * Mailing Address * Address Line 1 Address Line 2 City --- Select state --- Alabama Alaska Arizona Arkansas California Colorado Connecticut Delaware District of Columbia Florida Georgia Hawaii Idaho Illinois Indiana Iowa Kansas Kentucky Louisiana Maine Maryland Massachusetts Michigan Minnesota Mississippi Missouri Montana Nebraska Nevada New Hampshire New Jersey New Mexico New York North Carolina North Dakota Ohio Oklahoma Oregon Pennsylvania Rhode Island South Carolina South Dakota Tennessee Texas Utah Vermont Virginia Washington West Virginia Wisconsin Wyoming State Zip Code Website / Facebook/ Instagram (link required - i.e. https://www.chiceventsdc.com) * Additional Notes/ Requests How did you hear about our events? * Facebook Vendor E-Newsletter Instagram Twitter Google Search Other Web Searches (please list them below) Other Participating Vendor (please provide their name below) Our Event Staff (please provide their name below) For Other Web Searches, Other Vendor and Event Staff, please list their names so we can show our appreciation Which event are you interested in attending *",NON-EVENT
"August 29, 2026 - Around The World Cultural Food Festival ~ Oronoco Bay Park, Alexandria, VA (11am - 7pm)",EVENT
"Vendor Type (Licensed Businesses ONLY) - Choose One * Restaurant Catering Company Food Truck Desserts Other (please specify) For Other please specify Upload your Logo (this image will be used to list your business on our website and on the event page) Click or drag a file to this area to upload. COUNTRY Represented in the Festival (we only accept 1 vendor per country, so if the country is already represented by another food vendor, please do not register) * Vendor Booth Payment * Please select Vendor Type from the drop-down menu",NON-EVENT
"2025 ATW ~ Food Tent Vendor Single Booth, 10x10 Space - $1,295 2025 ATW ~ Food Truck 10x20 Space - 1,295 2025 ATW ~ Food Truck 10x30 Space - $1,995 2025 ATW ~ Food Truck 10x40 Space ~ $2,495",EVENT
"Desserts Vendor Single Booth, 10x10 - 795 - ON SITE COOKING (NO ICE CREAM PRODUCTS!) Desserts Vendor Single Booth, 10x20 - 595 - PRE-PACKAGED ONLY (NO ICE CREAM PRODUCTS!) Desserts Vendor Double Booth, 10x20 Space - SOLD OUT Desserts Vendor Truck - SOLD OUT Ice Cream Single Booth, 10x10 Space - SOLD OUT Ice Cream Truck - SOLD OUT Snow Cone/ Shaved Ice Truck - SOLD OUT Snow Cone/ Shaved Ice, Single Booth, 10x10 Space - SOLD OUT Smoothies Single Booth, 10x10 Space - SOLD OUT Smoothies Truck - SOLD OUT Virtual Vendor - Vendor will not be present on site the day of the event, but will be promoted in the event as an Online Vendor the week of the event (online reach over 1 million people) ~ $245 Total (tax included). Payment link will appear once the registration form is submitted. If payment is not submitted immediately, you will have to re-submit the Vendor Registration Form. $0.00 Payment Method (Pay via PayPal; you can pay with your credit card if you don’t have a PayPal account). Payment link will appear once the registration form is submitted. If payment is not submitted immediately, you will have to re-submit the Vendor Registration Form. * PayPal Additional Notes/ Requests (available on a first come, first serve basis). You will receive a separate invoice for it. Prime Location ($75 additional) Specific booth request ($45 additional) Corner Booth ($65 additional) Participation in the FACEBOOK LIVE EVENT the day of the event ($95 additional) - Vendor has the opportunity to participate in a Facebook Live Event on the Chic Events DC’s event page the day of the event directly from their booth! Vendor will be allocated up to 30 minutes to present all products they have for sale the day of the event and promote their website or online store. This service is available to vendors registered in the live event only and will be assisted by the organizer's staff present at the event. Limited number of spots available per event. Tent Rental ($250 additional - includes tent weights, set up and break down) Vendor Marketing and Promotion ($175 additional) I have read, understand and agree to the Vendor Contract, Policies, Rules and Regulations listed in the footer of the website. Vendor Fees are Non-Refundable and Non-Transferable. Vendor Spaces are Not Shareable with other vendors. * I agree",NON-EVENT
"By checking the box and registering for Chic Events DC's event, I acknowledge that I have read and I agree to abide by the Vendor Contract and Vendor Rules and Regulations for listed below. Without limiting the foregoing, I also understand that all transactions executed by me through registering for Chic Events DC events (by checking the submit box) or thereafter which I execute as an exhibitor are final and that there are no refunds and I am aware that all events are rain or shine. I understand and agree that a 4.1% processing fee has been added to the total amount.",EVENT
"Please note that Chic Events DC is a division of Royal Events LLC. Charges on your credit card will appear as ""Vendor Registration Fee"" from Royal Events LLC. I have read and understand the COVID-19 SAFETY ACKNOWLEDGEMENT -- LIABILITY WAIVER AND RELEASE OF CLAIMS listed in the footer of the website * I agree By checking the box and registering for Chic Events DC's event, I acknowledge that I have read and I agree to abide by the COVID-19 SAFETY ACKNOWLEDGEMENT -- LIABILITY WAIVER AND RELEASE OF CLAIMS for listed below. I also understand that the day of the event I will be required to complete a Vendor COVID-19 Self Screening Questionnaire. Failure to complete it will result in not being allowed to participate in the event with no possibility of receiving a refund for the registration fee. Email Submit R equired Documents for Participation : Menu presented in the festival – all dishes are REQUIRED to be ethnic, traditional dishes, originated in the country you represent. Please be aware of the festival concept and requirements to present ONLY traditional food (i.e: fusion, mix, etc. dished are NOT allowed). NO refunds for the registration fee will be approved once your registration is approved and email sent confirming your participation in the festival. By agreeing to the Terms and Conditions in the Food Vendor Registration Form, you agree to the stipulated terms and conditions regarding the menu. No beverages are allowed for sale in the festival, no exception. Proof of Insurance naming Royal Events Group as Additional Insured",NON-EVENT
"Late Fee Documentation Submission – $150. If all required documents are NOT received by June 1, 2025, a $150 late submission fee will be assessed.",EVENT
"Required and Not Included in the registration fee: Tent, tables, chairs (vendor provides full set up. Flame retardant certification required for the tent) Electricity (not available on site; vendor can use their own generator) Open Flame Permit from Alexandria County Fire Marshal Temporary Food Permit from Alexandria Health Department Festival Menu $69",NON-EVENT
"Around the World Cultural Food Festival is focused on promoting local establishments. Keeping that in mind, only restaurants and catering companies that have a business license will be allowed to submit entries. Due to limited space at the Around the World Cultural Food Festival, spacing selected will be on a first come, first paid basis.",EVENT
"All selected food vendors, must adhere to the following: •Per health code regulation, restaurant personnel should adhere to all rules and regulations specified in the contract. •All vendors are required to sign Vendor Contract upon registration (contract will be presented to you upon approval of your participation). •Your participation in the festival will not be granted until all required documents are submitted and the registration fee is paid in full. VENDOR GENERAL INFORMATION, RULES AND REGULATIONS (revised",NON-EVENT
August 2018),EVENT
"Vendor Spaces Each vendor is provided with a 10’ x 10’ space which can accommodate a 10×10 tent. If available, if you go outside the 10×10 space, you will have to pay for additional space! Vendors need to provide their own set up, including tent, tables and chairs for displaying the merchandize. Vendors understand that are responsible for all needed display props, including table/chairs/hanging materials/signs/etc. All tents MUST be anchored with weights on all legs. If a tent has no weights, you will be asked to take it down, due to liability issues. Electrical requirements are limited. Please contact the event organizer for any electrical needs. Booth Set Up Volunteers will be present to direct vendors to their assigned area for set-up beginning two hours prior to the event start time. Due to safety reasons, vendors who arrive after the start of the event, may forfeit pre-assigned booth location and be assigned an alternate location. All vendors must be completely set up 15 minutes prior to the event start and remain set-up and in place until the event end time. To prevent accident or injury, any vendor wishing to leave early MUST notify a festival official. With permission, booths can be packed-up and “walked-out” will be allowed to do so. No vehicles will be allowed on the event’s grounds AT ANY TIME. Vendors will be allowed to proudly display company banner and signage to identify their business. Vendors will be able to sell their merchandize and are responsible for reporting sales tax.",NON-EVENT
"Usually set up starts 2 hours before the event start time and break down occurs right after the event ends. More detailed information regarding each of our events, including the Vendor Layout is emailed one to two weeks prior to the event date. For any questions, you can always contact our office at 703.889.0202 between normal business hours.",EVENT
"Booth Sharing Vendors are NOT allowed to share booth spaces; all vendors are welcome, but they must register for their own booth space. If we see that you share a booth space with another vendor not registered in the event with their own booth space, the vendor who is not registered with our company will be asked to leave the event premises, NO EXCEPTIONS. Food items, including jams, teas, spices, etc cannot be displayed for sale in the same tent with jewelry, clothing items, bath and body items, etc. Vendor Application and Confirmation In order to participate in one of our festivals and /or fairs, you must complete the Vendor Registration Form and submit the Vendor Booth Fee. Once we have these two forms completed, you will receive an email from us confirming your participation in the event. Registration fee is non refundable as your spot is being held and guaranteed in the event. As we get closer to the day of the event, you will receive a second email from us including your booth number and location, as well as vendor set up, parking, break down, and any other pertinent information regarding the event you are part of. Please make sure to check your spam folder in case you do not see the email with the booth assignments and vendor information 1 to 2 weeks before the event date in your inbox. Please make sure you check the email you included in your registration form as that is the email we will use to send all the event’s logistics. Please keep in mind that it’s the vendor’s responsibility to contact us in case no emails are received the week before the event date; we will gladly make sure you have all the information needed for the day of. Also, please add our email address to your contact list so you make sure you receive important event communication from us. Deadlines We do not have deadlines for our events, so an event may be open when you contact us, but it can close at any time. If the event’s registration link is no longer available on the website, it means the event is no longer open for vendor registration. As a general rule of thumb, our festivals and fairs sell out at least one month prior to the event date. We recommend you registering for our vendor e-newsletter to avoid missing on any events, as we do announce on a regular basis how many vendor spots are available for an event. We strongly recommend applying when we announce a new event and registration becomes available. We have no way of knowing when a festival will close as we receive many registrations a day and could prompt an event’s closure without anticipation. Vendor E-newsletter The best and easiest way to keep in touch with our announcements on upcoming events, special promotions, and/ or last calls for vendors is to sign up for our Vendor E-newsletter. Please keep in mind you may receive emails regarding events that may not be in your area of interest, but we recommend you to keep an eye on all emails received from us as otherwise you may miss important announcements regarding upcoming festivals you may be interested in. Food Vendor Permits First and foremost, it is the Food Vendor’s responsibility to compete and submit the Temporary Food Permit Application from the City/ County the event is taking place – for Silver Spring events is Montgomery County Health Department; for Baltimore events is Baltimore City Health Department; for Leesburg events is Loudoun County Health Department; for Manassas events is Prince William County Health Department; for Fredericksburg events is Fredericksburg City Heath Department; for Richmond events is Richmond City Health Department. Permits will vary depending on where you are selling. Typically you will need to obtain the Temporary Food Permit Application. Keep in mind that you will need a vendor’s permit for each location you service. Requirements may also vary from state to state and county to county, so please make sure you check with the Health Department of each city/ county the event is being hosted; organizer has no saying over the Health Department requirements and it is not responsible for Vendor’s non approval of receiving the one day license to vend in the event. Certificate of Insurance adding Royal Events as an additional insure for the day of the event is a requirement for all Food and Beverage Vendors participating in any of the events. If the on-site Health Inspector finds you NOT compliant with the Health Department Rules and Regulations the day of the event and does not allow you to sell in the event, Organizer is NOT responsible and NO refunds will be issued, NO EXCEPTIONS. Insurance Certificate of Insurance adding Royal Events Group as an additional insured for the day of the event is a requirement for all Food and Beverage Vendors participating in any of the events. While Event premises are being occupied under this agreement, the organizer will provide NO",NON-EVENT
"insurance for participating vendors in the event; any insurance must be placed and paid by the exhibitor. Vendors agree to hereby indemnify and hold harmless the event planning company and its subsidiaries, affiliates, officers, directors, shareholders, agents and employees free, clear and harmless, from and against any and all losses, liabilities, costs, expenses (including amounts paid in settlements and reasonable attorney’s fees), claims, penalties, judgments and damages, resulting from or arising out of, by reason of any act, omission or negligence of the client or its representative agents, employees or Vendors in any way connected with or arising out of any accident, injury or damage-and these can include and be detailed-any breach of representation, injury to person or property, any activity conducted or action taken by the organizer, directly or indirectly, in conjunction with the agreement. If for any reason beyond its control, including but not limited to strike, labor dispute, accident, act of war, act of God, fire, flood or other emergency condition, the organizer is unable to perform its obligations under this agreement, such non-performance is excused and the organizer may terminate the agreement without further liability of any nature. In no event shall the organizer be liable for consequential damages of any nature for any reason whatsoever.",EVENT
"Forms Of Payment All participating vendors are required to accept both cash and credit card payments, NO EXCEPTIONS. Please be advised that wifi is NOT available on site, so please plan accordingly. Taxes",NON-EVENT
"Each exhibitor is responsible for collecting the state sales tax and filing a report with the local Department of Revenue. For any questions or more information, please contact your accountant or the local Department of Revenue; our staff is not certified to provide or answer any tax related questions.",EVENT
"Cancellations and Refunds WE DO NOT ISSUE REFUNDS FOR CANCELLATIONS. Vendor fee is Non-Refundable and Non-Transferable. In case the event must be cancelled for reasons out of organizer’s control (i.e. inclement weather as tornadoes and hurricanes, government imposed regulations, Act of God, venue related issues, etc.), event will be rescheduled and the new date will be announced to all registered vendors in the event. Refunds will not be accepted due to already inquired expenses on organizer’s behalf as advertising and promotion, permits and licenses, venue rental fees, etc. In case the organizer must cancel the event with no rescheduled date set, vendor fees will be refunded.",NON-EVENT
"No refunds will be made, no exceptions. No credits will be applied for upcoming events, in case of vendor/ exhibitor cancellation. If for any reason it becomes impossible to have the event, vendors understand this agreement is terminated and will waive any and all claims for damages. Refunds will not be made due to cancellation on the part of the vendor/ exhibitor. Failure to comply with the above stated rules will result in eviction from the event & loss of any money paid.We understand that problems arise and everyone cancels for reasons beyond their control; however, please understand there are NO EXCEPTIONS to this rule.",EVENT
"Day Before/ Same Day Cancellations and No-Shows We understand life happens, and while you need to cancel your registration for the event (no refunds and/ or credits will be issued), we appreciate you sending us an email informing us of your cancellation at least 2 days before the event day; we request a 48 hours cancellation notice as our office is closed before the event date in order to prepare for the event. In case of a no-show or day before/ same day cancellation, vendor understands that their no-show or day before/ same day cancellation in the event impacts the layout and overall aspect of the event, and for future events, vendor will be reassigned a booth which, in case of a no-show or day before/ same day cancellation, will not impact the visual appearance of the event’s layout. In case of a no-show or day before/ same day cancellation, if for future shows vendor requests a prime booth, vendor will be charged an additional fee of $25/ booth, due to their previous impact on the event’s layout. Promotion of Other Events Promoting other events in our festivals and events is strictly prohibited. If we see you promote other event within ours, you will be asked to remove all information related to that particular event. Vendors can distribute flyers, business cards, coupons, menus, or other material to patrons within their vendor booth area, but please DO NOT SHARE flyers from other events . Day Of Booth Relocation V endor understands that, in special occasion, their booth will be relocated in a different area, most likely a better one, depending on the cancellations and/ or no-shows the day of the event, in order to maintain the overall flow and visual appearance of the event’s layout. This change will be communicated by the on site Event Manager, the day of the event. Alcohol is NOT allowed on event’s grounds – not for sale and not for personal consumption. Weather / Rain or Shine Policy",NON-EVENT
"All festivals are held outdoors and go on rain or shine. No credits or refunds will be issued if the show is affected by forces of nature beyond our control. Please check our website, social media pages or contact the office for updates on cancellations resulting from severe weather such as hurricanes, tornados, flooding, etc. Please note, we will not cancel a show unless informed by state, city or local officials that it will be in the best interest of safety for all. If it looks like it is going to rain, unfortunately, we will not call off the event and it will run as scheduled. COVID Policy (Addendum to Vendor Fees as of September 1, 2020 (revised March 1, 2021, revised February 2022) If vendor has tested positive or has been in contact with someone who has tested positive for COVID-19, vendor is required to report the incident immediately and provide documentation. If you have been exposed to COVID-19, please take a COVID test 1-2 days prior to the event date and if the test is positive, you will be allowed to switch your registration to another event date. You are required to send us proof of COVID-19 positive test in order to make the event registration change; all information will remain confidential. Accepted tests are PCR tests and in-home tests accompanied by MD’s note only, no exceptions. For more information on COVID guidelines, please visit CDC’s website – https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/quarantine.html In special cases as the COVID-19 pandemic, vendor understands that no refunds will be processed as to already inquired expenses on organizer’s behalf as venue rental fees, permits and licenses, advertising and promotion, etc. Organizer will work with vendors to offer credit options towards another festivals and events in the coming year, hence 2023; a tentative schedule of events will be released by mid/ late 2022.",EVENT
"PLEASE CAREFULLY READ the rules & regulations before submitting the Vendor Registration Form. We make every attempt to review all information contained within the pages of this website and at the time of posting all information is believed to be accurate and complete. Organizer has final rights for interpretations and disclosure and reserves the right to change any information as it becomes necessary. Any changes will be disclosed to all parties involved as soon as they become available to us via e-mail or phone, as we feel best for confirmed parties. General Information: •",NON-EVENT
"Anticipated attendance: 45,000 – 50,000 people for the day (2023 attendance – 50,000 for the day)",EVENT
•All required certificates (copies) must be submitted with the completed application. •Vendor fees are Non-Refundable. This is a Rain or Shine event . •ALL PROCEEDS from vendor sales will belong to the vendor. •No commissions will be assessed. Vendors are responsible for collecting sales tax and for reporting earnings to IRS and VA Tax Office.,NON-EVENT
